gene_name,TCGA-COAD(Black Or African American)(57)
FMN2,0.122807018
FCGBP,0.122807018
FRAS1,0.122807018
NALCN,0.122807018
COL6A3,0.122807018
NF1,0.122807018
CHST15,0.122807018
ADGRV1,0.122807018
RELN,0.122807018
TTC28,0.122807018
ARAP1,0.122807018
NIPBL,0.122807018
ROBO3,0.122807018
POU2F1,0.122807018
TNRC6B,0.122807018
CHD8,0.122807018
NRXN2,0.122807018
ZCCHC16,0.105263158
ZNF318,0.105263158
FRMPD3,0.105263158
ANKRD11,0.105263158
RYR3,0.105263158
USP34,0.105263158
ACACA,0.105263158
ZNF275,0.105263158
AKAP12,0.105263158
DNHD1,0.105263158
RNF43,0.105263158
TRPS1,0.105263158
PIEZO1,0.105263158
MAP3K12,0.105263158
MUC2,0.105263158
INPPL1,0.105263158
TG,0.105263158
DOCK3,0.105263158
PLXNB2,0.105263158
MMP16,0.105263158
DCAF4L2,0.105263158
PLXNA1,0.105263158
KALRN,0.105263158
RP1,0.105263158
ERBB3,0.105263158
HRNR,0.105263158
AMOT,0.105263158
LRP1,0.105263158
FBN3,0.105263158
ATG2A,0.105263158
LAMA2,0.105263158
ATXN2L,0.105263158
IRS4,0.105263158
NOTCH3,0.105263158
NRXN1,0.105263158
ZFP36L2,0.105263158
LAMA3,0.105263158
ADGRL2,0.105263158
COL22A1,0.105263158
C11orf63,0.105263158
PCDHA8,0.105263158
PAPPA,0.105263158
DCC,0.105263158
SMAD4,0.105263158
BRD8,0.105263158
CACNA1E,0.105263158
FAT1,0.105263158
WDR63,0.105263158
PTPRT,0.105263158
LOXHD1,0.105263158
TNC,0.105263158
TRIO,0.105263158
GLUD2,0.105263158
KCNA1,0.105263158
PAPPA2,0.105263158
FLRT2,0.105263158
SCN1A,0.105263158
XIRP2,0.105263158
PIK3R1,0.105263158
KCNB1,0.105263158
HELZ2,0.105263158
OBSL1,0.105263158
MXRA5,0.105263158
MYCBP2,0.105263158
ACE,0.105263158
SPTA1,0.105263158
PLEC,0.105263158
DOCK1,0.105263158
FREM2,0.105263158
NCKAP5L,0.105263158
MICAL3,0.105263158
DNAH6,0.105263158
DOCK8,0.105263158
FAM200B,0.105263158
SCAF4,0.105263158
PCDH9,0.105263158
DSCAM,0.105263158
EP400,0.105263158
LRRK1,0.105263158
LRRK2,0.105263158
PCDH17,0.105263158
ZCCHC6,0.105263158
DYNC2H1,0.105263158
NID2,0.105263158
LMTK3,0.105263158
STAB1,0.105263158
ABCA13,0.105263158
PXDN,0.105263158
SLC12A9,0.105263158
ZAN,0.105263158
FLNC,0.105263158
RP1L1,0.105263158
UNC13C,0.105263158
LYST,0.105263158
GJC2,0.105263158
POM121C,0.105263158
RADIL,0.105263158
ZNF536,0.105263158
OTOGL,0.105263158
SLITRK2,0.105263158
TSHZ3,0.105263158
MYO5A,0.105263158
SLC8A2,0.105263158
CACNA1C,0.087719298
GLI3,0.087719298
COL5A1,0.087719298
BRAF,0.087719298
VCAN,0.087719298
FHOD3,0.087719298
TIAM2,0.087719298
KCNA5,0.087719298
ERAP2,0.087719298
VWF,0.087719298
LAMC3,0.087719298
ABL1,0.087719298
ZNF449,0.087719298
USP27X,0.087719298
CHD6,0.087719298
TCEB3B,0.087719298
SPZ1,0.087719298
ABCA2,0.087719298
CNOT1,0.087719298
BRCA2,0.087719298
FBXL7,0.087719298
SKIDA1,0.087719298
CDH10,0.087719298
PDZD2,0.087719298
ELMSAN1,0.087719298
C5orf42,0.087719298
MROH9,0.087719298
MYO15A,0.087719298
SFMBT2,0.087719298
HCN1,0.087719298
SKIV2L2,0.087719298
LARP4B,0.087719298
SLX4,0.087719298
CACNA1B,0.087719298
KIAA1549,0.087719298
GRIPAP1,0.087719298
LRP2,0.087719298
ZNFX1,0.087719298
MAST4,0.087719298
GRIN1,0.087719298
RALGAPB,0.087719298
NOTCH1,0.087719298
SV2C,0.087719298
ACVR2A,0.087719298
PCDHA1,0.087719298
SMAD2,0.087719298
KIAA1755,0.087719298
PIK3C2G,0.087719298
GJB1,0.087719298
SBNO2,0.087719298
KIF26A,0.087719298
SPATA31D1,0.087719298
FAM178B,0.087719298
FLT4,0.087719298
TRPM3,0.087719298
FMR1,0.087719298
TUBB2A,0.087719298
RANBP10,0.087719298
SLC4A11,0.087719298
P2RY10,0.087719298
PLXNA3,0.087719298
BRWD3,0.087719298
ARHGAP36,0.087719298
ZSCAN20,0.087719298
PTPRS,0.087719298
MPDZ,0.087719298
KMT2D,0.087719298
AFF2,0.087719298
NAV3,0.087719298
HCFC1,0.087719298
C9orf47,0.087719298
MAP4K4,0.087719298
AXIN1,0.087719298
PFAS,0.087719298
ABCA3,0.087719298
DNAH1,0.087719298
PCDHA9,0.087719298
ITIH6,0.087719298
WDR33,0.087719298
CNTNAP2,0.087719298
COL27A1,0.087719298
A2ML1,0.087719298
PCDHGC5,0.087719298
CLCN7,0.087719298
SVEP1,0.087719298
WNK2,0.087719298
ZXDB,0.087719298
SMC2,0.087719298
DNAH11,0.087719298
TEX10,0.087719298
DYNC1H1,0.087719298
CTDP1,0.087719298
RGPD4,0.087719298
ATP10B,0.087719298
PTCH1,0.087719298
SLIT3,0.087719298
NLRC5,0.087719298
LAMA5,0.087719298
ADAMTS16,0.087719298
AKAP9,0.087719298
SCN5A,0.087719298
CCDC168,0.087719298
PPP1R9A,0.087719298
ABCC8,0.087719298
ADAMTSL4,0.087719298
MAGEC3,0.087719298
XYLT2,0.087719298
SAMD9L,0.087719298
GNB4,0.087719298
BZRAP1,0.087719298
NUMA1,0.087719298
MYO18B,0.087719298
UGGT2,0.087719298
FCRL3,0.087719298
MYH6,0.087719298
PHRF1,0.087719298
TNK2,0.087719298
ARHGEF17,0.087719298
MRC2,0.087719298
Unknown,0.087719298
TACC3,0.087719298
ERICH3,0.087719298
SCN10A,0.087719298
STAG1,0.087719298
ERICH6,0.087719298
TUBGCP3,0.087719298
MGAT3,0.087719298
FAM208A,0.087719298
FLNB,0.087719298
ZNF646,0.087719298
ROBO2,0.087719298
SOX10,0.087719298
KCNH4,0.087719298
BAHCC1,0.087719298
RNF40,0.087719298
ZNF540,0.087719298
SRCAP,0.087719298
DNAJC13,0.087719298
PLXNB1,0.087719298
SETD2,0.087719298
GIGYF1,0.087719298
NBEAL2,0.087719298
DGKZ,0.087719298
FBLN1,0.087719298
WDR87,0.087719298
MAGEC1,0.087719298
SMURF1,0.087719298
COL6A5,0.087719298
IFI16,0.087719298
HTT,0.087719298
GPR158,0.087719298
BCL9L,0.087719298
SEC61G,0.087719298
ABCA4,0.087719298
BCAR3,0.087719298
COBL,0.087719298
ERBB4,0.087719298
NUP205,0.087719298
GRIA2,0.087719298
NARF,0.087719298
PIAS1,0.087719298
NOS2,0.087719298
TENM3,0.087719298
TMPRSS15,0.087719298
KCNQ2,0.087719298
ZC3H13,0.087719298
LAMA1,0.087719298
CIITA,0.087719298
SPTB,0.087719298
SORBS2,0.087719298
GRIN2A,0.087719298
DIP2B,0.087719298
ARMC4,0.087719298
IRX1,0.087719298
ANK3,0.087719298
GPR88,0.087719298
WWC3,0.087719298
BRWD1,0.087719298
MYO7A,0.087719298
ZNF423,0.087719298
DOCK4,0.087719298
CHL1,0.087719298
TENM4,0.087719298
COL6A2,0.087719298
KIF1A,0.087719298
SDK2,0.087719298
TRPM2,0.087719298
ADGRB2,0.087719298
SHROOM3,0.087719298
SYNPO2L,0.087719298
GIGYF2,0.087719298
PTEN,0.087719298
SLTM,0.087719298
GPSM2,0.087719298
MTTP,0.087719298
MCF2,0.087719298
TIAM1,0.087719298
KLHL34,0.087719298
PDXDC1,0.087719298
SPTBN4,0.087719298
DLGAP2,0.087719298
NBEA,0.087719298
SPTBN1,0.087719298
GPR3,0.087719298
MYC,0.087719298
COL11A2,0.087719298
MAP2K7,0.087719298
DCAF12L1,0.087719298
CNKSR1,0.087719298
RASGRP3,0.087719298
LAMA4,0.087719298
KIF17,0.087719298
PKHD1L1,0.087719298
COL19A1,0.087719298
MBD6,0.087719298
PUM2,0.087719298
NRG1,0.087719298
MAST3,0.087719298
COL12A1,0.087719298
DOCK5,0.087719298
MON2,0.087719298
FBN1,0.087719298
NCOR2,0.087719298
KCNQ5,0.087719298
6-Sep,0.087719298
HERC2,0.087719298
IBTK,0.087719298
MLLT4,0.087719298
DCTN1,0.087719298
MYO9A,0.087719298
PTPN14,0.087719298
CARD11,0.087719298
PTPRK,0.087719298
KIAA1429,0.087719298
TEX15,0.087719298
CLUH,0.087719298
PREX2,0.087719298
SIGLEC10,0.087719298
L1CAM,0.087719298
DNAH10,0.087719298
KAZN,0.087719298
ATP2B3,0.087719298
KIAA0430,0.070175439
ZSWIM8,0.070175439
CEP170,0.070175439
FBXO34,0.070175439
NRG3,0.070175439
SYNPO2,0.070175439
KCNMA1,0.070175439
KIAA1324,0.070175439
KCNE5,0.070175439
INTS6,0.070175439
SPHKAP,0.070175439
COL4A4,0.070175439
HP1BP3,0.070175439
SH2D4B,0.070175439
ANK2,0.070175439
FSCN3,0.070175439
PAXBP1,0.070175439
PAX3,0.070175439
DUOX2,0.070175439
SPG11,0.070175439
BACH2,0.070175439
TRPC5,0.070175439
HERC6,0.070175439
TRIM9,0.070175439
CELSR2,0.070175439
BACE2,0.070175439
TRPM8,0.070175439
KIAA0195,0.070175439
SH3BP4,0.070175439
SMG1,0.070175439
DNMBP,0.070175439
CHD9,0.070175439
POLR2B,0.070175439
LZTS2,0.070175439
LRRFIP1,0.070175439
NHLH1,0.070175439
CCDC67,0.070175439
TOX3,0.070175439
CENPF,0.070175439
FRYL,0.070175439
ATP1A2,0.070175439
N4BP2,0.070175439
AMOTL1,0.070175439
SMAD3,0.070175439
ADGRA1,0.070175439
PTPRZ1,0.070175439
ADAMTS4,0.070175439
OLIG1,0.070175439
LDB3,0.070175439
AFF1,0.070175439
PTPN13,0.070175439
BHLHE22,0.070175439
NAA25,0.070175439
EVPL,0.070175439
PCDH8,0.070175439
CYP1A2,0.070175439
FUK,0.070175439
SIM1,0.070175439
ATAD5,0.070175439
ANKRD17,0.070175439
MIS18BP1,0.070175439
IGSF5,0.070175439
ZNF680,0.070175439
ZNF292,0.070175439
TNS2,0.070175439
AADACL3,0.070175439
ANKRD30B,0.070175439
ATP6V0A4,0.070175439
CCDC181,0.070175439
ITGA8,0.070175439
CUBN,0.070175439
ARAF,0.070175439
DNM2,0.070175439
COL5A2,0.070175439
SRRM4,0.070175439
PAPLN,0.070175439
RBM25,0.070175439
PRDM9,0.070175439
PCNX,0.070175439
NUTM1,0.070175439
ZC3H4,0.070175439
ERF,0.070175439
DNAH7,0.070175439
TRHDE,0.070175439
FAM83B,0.070175439
ITGA4,0.070175439
RUNX1T1,0.070175439
DNM3,0.070175439
ADARB2,0.070175439
TESPA1,0.070175439
DHX29,0.070175439
CREBBP,0.070175439
MEGF8,0.070175439
KATNB1,0.070175439
NEUROD4,0.070175439
FRMD4A,0.070175439
TINAG,0.070175439
PORCN,0.070175439
PTGER3,0.070175439
FTSJ1,0.070175439
HOXD4,0.070175439
ZMIZ2,0.070175439
GREB1L,0.070175439
ZNF831,0.070175439
EML6,0.070175439
OTUD4,0.070175439
NPHP4,0.070175439
GLRA3,0.070175439
KMT2A,0.070175439
DSCAML1,0.070175439
MAP2,0.070175439
FN3K,0.070175439
RAPGEF2,0.070175439
EIF2AK4,0.070175439
ZNF488,0.070175439
EPHA8,0.070175439
TPTE,0.070175439
DLG2,0.070175439
TRPA1,0.070175439
HSPG2,0.070175439
TP73,0.070175439
ARL11,0.070175439
WRAP73,0.070175439
STAB2,0.070175439
THBS1,0.070175439
GPM6A,0.070175439
DLGAP1,0.070175439
EXOC3,0.070175439
MYO3A,0.070175439
MPZL1,0.070175439
USP9X,0.070175439
RP11-85G18.6,0.070175439
KIF26B,0.070175439
PIEZO2,0.070175439
BZW1,0.070175439
MFRP,0.070175439
ATP1A3,0.070175439
BCOR,0.070175439
PHLPP2,0.070175439
CCDC110,0.070175439
BMPR2,0.070175439
DIDO1,0.070175439
KANK2,0.070175439
HSPA2,0.070175439
MAP3K4,0.070175439
FAM184B,0.070175439
PCDH7,0.070175439
NAV2,0.070175439
TRRAP,0.070175439
AGRN,0.070175439
ZBED4,0.070175439
BRD1,0.070175439
COL6A6,0.070175439
CROCCP2,0.070175439
GRAMD4,0.070175439
CD248,0.070175439
KLC2,0.070175439
GON4L,0.070175439
IFT172,0.070175439
INPP5J,0.070175439
MYLK,0.070175439
ADCY5,0.070175439
HIVEP2,0.070175439
RASAL3,0.070175439
ISLR,0.070175439
TRIM35,0.070175439
CH17-140K24.8,0.070175439
GPATCH8,0.070175439
KIAA1671,0.070175439
PKN1,0.070175439
RAP2B,0.070175439
GTF3C1,0.070175439
RHBG,0.070175439
KIAA0556,0.070175439
MICAL2,0.070175439
PEG10,0.070175439
GPR179,0.070175439
FZD3,0.070175439
PCOLCE2,0.070175439
OTOG,0.070175439
ZFP82,0.070175439
SH2B1,0.070175439
KCNC1,0.070175439
TBC1D10C,0.070175439
TRIM42,0.070175439
HNF1A,0.070175439
FZD2,0.070175439
KIAA1456,0.070175439
TCF7L2,0.070175439
FBXL19,0.070175439
TRIOBP,0.070175439
BSN,0.070175439
DLC1,0.070175439
C8orf48,0.070175439
PML,0.070175439
TMCO3,0.070175439
SLC22A10,0.070175439
SYNJ2,0.070175439
MAP1A,0.070175439
CACNA1I,0.070175439
ATP8B2,0.070175439
DAGLA,0.070175439
L3MBTL2,0.070175439
EP300,0.070175439
SGSM3,0.070175439
PBRM1,0.070175439
AHNAK,0.070175439
FAM134C,0.070175439
FAM160B2,0.070175439
EPHA2,0.070175439
CDC14C,0.070175439
COL4A1,0.070175439
PKLR,0.070175439
TFR2,0.070175439
DEPDC5,0.070175439
POLQ,0.070175439
FAM189B,0.070175439
NDUFS3,0.070175439
C17orf53,0.070175439
FOLH1,0.070175439
CCAR2,0.070175439
CELSR3,0.070175439
ZNF345,0.070175439
ARIH2,0.070175439
ADGB,0.070175439
ATP11A,0.070175439
CYP4F2,0.070175439
USP19,0.070175439
PPP6R2,0.070175439
SUSD5,0.070175439
IFT80,0.070175439
GRM7,0.070175439
PTGFRN,0.070175439
EVC2,0.070175439
NUSAP1,0.070175439
CUX2,0.070175439
DNAH3,0.070175439
FAM46C,0.070175439
ADRA2C,0.070175439
ATAD3A,0.070175439
NYNRIN,0.070175439
NFATC4,0.070175439
CPAMD8,0.070175439
EDNRB,0.070175439
RPUSD3,0.070175439
DOCK11,0.070175439
ADGRL4,0.070175439
LDOC1,0.070175439
CDHR3,0.070175439
CLCN4,0.070175439
TACC2,0.070175439
LMF2,0.070175439
INPP5F,0.070175439
PASK,0.070175439
AKAP6,0.070175439
COL6A1,0.070175439
DHX15,0.070175439
CEBPZ,0.070175439
SLIT2,0.070175439
DIP2C,0.070175439
POLD1,0.070175439
PCNT,0.070175439
LPA,0.070175439
CC2D2A,0.070175439
BOD1L1,0.070175439
PRKDC,0.070175439
HELZ,0.070175439
EIF3A,0.070175439
CLK3,0.070175439
AFAP1,0.070175439
PDPN,0.070175439
ABCC12,0.070175439
GAK,0.070175439
HGF,0.070175439
PLCL2,0.070175439
WHSC1L1,0.070175439
THRB,0.070175439
PEAR1,0.070175439
INSRR,0.070175439
CCDC114,0.070175439
EIF4G1,0.070175439
ARSA,0.070175439
TRIM25,0.070175439
RBMS3,0.070175439
SPTBN5,0.070175439
PRKCB,0.070175439
FARP1,0.070175439
CACNA1G,0.070175439
MECOM,0.070175439
TCTN1,0.070175439
NES,0.070175439
ACIN1,0.070175439
IGF2,0.070175439
PRR12,0.070175439
CACNA1A,0.070175439
KIAA0226,0.070175439
CACNA2D1,0.070175439
SLITRK5,0.070175439
CCNL2,0.070175439
NUP210,0.070175439
FBLN2,0.070175439
ROS1,0.070175439
GRIP2,0.070175439
SIPA1L2,0.070175439
NPHS1,0.070175439
ATP13A3,0.070175439
ALK,0.070175439
CLIP4,0.070175439
AP2A2,0.070175439
IL3RA,0.070175439
PAPL,0.070175439
TFAP2B,0.070175439
EGFL8,0.070175439
CDH2,0.070175439
CBFA2T2,0.070175439
ALOX12B,0.070175439
AP5Z1,0.070175439
SOCS6,0.070175439
ATG9B,0.070175439
SYNPO,0.070175439
ZXDA,0.070175439
SZT2,0.070175439
IKBKAP,0.070175439
TPR,0.070175439
CHTF18,0.070175439
PER1,0.070175439
NOS3,0.070175439
XPO4,0.070175439
EIF4B,0.070175439
DDX12P,0.070175439
PCDH12,0.070175439
RP11-22B23.1,0.070175439
MTCL1,0.070175439
ZC3H6,0.070175439
GABBR2,0.070175439
IL18RAP,0.070175439
BICD2,0.070175439
BHLHB9,0.070175439
SUSD3,0.070175439
MROH5,0.070175439
POLRMT,0.070175439
EXOC3L4,0.070175439
KCNQ4,0.070175439
KRT71,0.070175439
OTUD6A,0.070175439
WWC1,0.070175439
ZBTB4,0.070175439
TECPR2,0.070175439
SCUBE3,0.070175439
DSTYK,0.070175439
PARD6G,0.070175439
FAM135B,0.070175439
A2M,0.070175439
CDK18,0.070175439
KRT6A,0.070175439
FGF9,0.070175439
PABPC3,0.070175439
KIF6,0.070175439
PCDHA2,0.070175439
ESPL1,0.070175439
ASTN2,0.070175439
RAB6C,0.070175439
TMCO6,0.070175439
WNK3,0.070175439
NEDD4L,0.070175439
MYH8,0.070175439
PURA,0.070175439
MYO1F,0.070175439
MYH1,0.070175439
MEIS1,0.070175439
RC3H2,0.070175439
PLCG2,0.070175439
ARHGEF4,0.070175439
KCNK16,0.070175439
GAS7,0.070175439
PCDHA7,0.070175439
AKNA,0.070175439
PCDHGB7,0.070175439
CLASP1,0.070175439
CRAMP1L,0.070175439
PCDHGA8,0.070175439
RSAD2,0.070175439
HNRNPM,0.070175439
DNAH8,0.070175439
PCDHB3,0.070175439
RERE,0.070175439
MYT1L,0.070175439
RNF17,0.070175439
PCDHA13,0.070175439
PCDHA11,0.070175439
FAM188B,0.070175439
PCDHA10,0.070175439
PRAM1,0.070175439
NOL8,0.070175439
NFASC,0.070175439
TCF7,0.070175439
UBAP2,0.070175439
AKAP13,0.070175439
RNF39,0.070175439
EPB41,0.070175439
FREM1,0.070175439
FLNA,0.070175439
ADAMTSL1,0.070175439
MLLT3,0.070175439
FAM133A,0.070175439
ZNF837,0.070175439
SAFB2,0.070175439
PTCHD2,0.070175439
ZNF184,0.070175439
EPPK1,0.070175439
LINGO2,0.070175439
CAMTA2,0.070175439
DGKB,0.070175439
DISP1,0.070175439
HCG17,0.070175439
DENND1C,0.070175439
PIWIL1,0.070175439
PNPLA6,0.070175439
TMEM185A,0.070175439
MKRN3,0.070175439
DOK1,0.070175439
SKIV2L,0.070175439
NLRP5,0.070175439
CPSF1,0.070175439
PELP1,0.070175439
HYDIN,0.070175439
LMBR1L,0.070175439
NBAS,0.070175439
USP29,0.070175439
AURKC,0.070175439
KCNH3,0.070175439
TMEM132C,0.070175439
PLD2,0.070175439
SSC5D,0.070175439
NOL6,0.070175439
MAP2K2,0.070175439
LONRF2,0.070175439
PIAS4,0.070175439
TRMT6,0.070175439
MANEAL,0.070175439
ADAMTSL3,0.070175439
TNRC18,0.070175439
APC2,0.070175439
RASGEF1C,0.070175439
TBC1D9B,0.070175439
KANSL3,0.070175439
JAG2,0.070175439
AHNAK2,0.070175439
INPP4A,0.070175439
CRB1,0.070175439
PPP1R12C,0.070175439
ZBTB41,0.070175439
FASTK,0.070175439
DMXL2,0.070175439
KRT6C,0.070175439
SMC5,0.070175439
FOXC1,0.070175439
ITPR2,0.070175439
KIF1B,0.070175439
SLC38A4,0.070175439
PUF60,0.070175439
LRRC16A,0.070175439
RUSC2,0.070175439
TET3,0.070175439
LPAR4,0.070175439
SOX4,0.070175439
ATRX,0.070175439
PRND,0.070175439
MUC19,0.070175439
HIVEP1,0.070175439
KIF21B,0.070175439
PLXNB3,0.070175439
MAK,0.070175439
POLE,0.070175439
BLOC1S5-TXNDC5,0.070175439
C5orf24,0.070175439
KIAA1468,0.070175439
GRID2,0.070175439
RGS22,0.070175439
TRERF1,0.070175439
SCN9A,0.070175439
SCN7A,0.070175439
MTBP,0.070175439
CAMTA1,0.070175439
MMP9,0.070175439
ZHX2,0.070175439
SEMA6A,0.070175439
MEFV,0.070175439
MAGEA1,0.070175439
DMXL1,0.070175439
POP1,0.070175439
MAB21L1,0.070175439
B3GALT1,0.070175439
TRPV6,0.070175439
TBC1D31,0.070175439
CEP120,0.070175439
ZSCAN32,0.070175439
ZMYND8,0.070175439
GCK,0.070175439
MYADM,0.070175439
FBN2,0.070175439
ZSWIM1,0.070175439
MGAM,0.070175439
ADAMTS18,0.070175439
CSRNP3,0.070175439
NRDE2,0.070175439
XPO5,0.070175439
TTBK1,0.070175439
IL1RAPL2,0.070175439
PPP1R26,0.070175439
RASA1,0.070175439
USP24,0.070175439
CMYA5,0.070175439
TMEM63B,0.070175439
TRIP11,0.070175439
TSC1,0.070175439
KCNA6,0.070175439
SETX,0.070175439
PDE4C,0.070175439
C19orf66,0.070175439
ZCCHC14,0.070175439
TEX13A,0.070175439
CDH11,0.070175439
NLRP3,0.070175439
ZNF699,0.070175439
ENPP2,0.070175439
ARFGEF2,0.070175439
SLC26A9,0.070175439
KCND1,0.070175439
EHMT1,0.070175439
R3HDM1,0.070175439
ELFN1,0.070175439
RAPGEF6,0.070175439
SRRM2,0.070175439
MPRIP,0.070175439
LEPR,0.070175439
MAD1L1,0.070175439
8-Sep,0.070175439
THSD7B,0.070175439
SYNE3,0.070175439
ZC3H18,0.052631579
DLEC1,0.052631579
TAF1B,0.052631579
FAM179A,0.052631579
MINK1,0.052631579
PLCD1,0.052631579
CHRM1,0.052631579
HDAC6,0.052631579
ZMYND15,0.052631579
VPRBP,0.052631579
ALG10,0.052631579
RTN4,0.052631579
WDR35,0.052631579
HDAC10,0.052631579
CLMP,0.052631579
SLC16A2,0.052631579
PLB1,0.052631579
OR10G9,0.052631579
OSGEPL1,0.052631579
FIGN,0.052631579
SCN2A,0.052631579
ACVR2B,0.052631579
C22orf46,0.052631579
PITPNM3,0.052631579
ZNF276,0.052631579
VWA5A,0.052631579
ANKRD33,0.052631579
CENPI,0.052631579
PKP2,0.052631579
DNMT3A,0.052631579
CAPN9,0.052631579
LMAN2L,0.052631579
TOP2B,0.052631579
GTF3C3,0.052631579
FGF3,0.052631579
EHBP1,0.052631579
OPCML,0.052631579
MYBPC1,0.052631579
TBC1D15,0.052631579
SEMA4F,0.052631579
SPRTN,0.052631579
MYO19,0.052631579
LINC00477,0.052631579
NHSL2,0.052631579
DYNC1I2,0.052631579
BCAT1,0.052631579
GRM2,0.052631579
TRIM71,0.052631579
KRT84,0.052631579
HECW2,0.052631579
DRP2,0.052631579
KCNH7,0.052631579
HTATSF1,0.052631579
ARNTL2,0.052631579
SYNRG,0.052631579
KRT7,0.052631579
CABP2,0.052631579
FGD4,0.052631579
DDX52,0.052631579
VILL,0.052631579
VPS9D1,0.052631579
BRE,0.052631579
SCN11A,0.052631579
HYAL2,0.052631579
OSBPL6,0.052631579
FUNDC2P2,0.052631579
CDK12,0.052631579
MMGT1,0.052631579
CCDC141,0.052631579
GREB1,0.052631579
GPX1,0.052631579
WNK1,0.052631579
LAMB2,0.052631579
PRKAG1,0.052631579
WDR45,0.052631579
PAH,0.052631579
RPA4,0.052631579
SCYL1,0.052631579
SCAP,0.052631579
CSPG5,0.052631579
RTN3,0.052631579
TTC30A,0.052631579
CDON,0.052631579
ARMCX1,0.052631579
TBC1D25,0.052631579
DHX30,0.052631579
TBC1D8B,0.052631579
EFCAB6,0.052631579
SF1,0.052631579
B3GAT1,0.052631579
OCRL,0.052631579
SCUBE1,0.052631579
COL7A1,0.052631579
C17orf107,0.052631579
ABCB11,0.052631579
CNST,0.052631579
FAM118A,0.052631579
CCR3,0.052631579
ROBO4,0.052631579
CAD,0.052631579
SUV39H1,0.052631579
RBM10,0.052631579
SRCIN1,0.052631579
NLRP1,0.052631579
ZFPM1,0.052631579
PC,0.052631579
TRAIP,0.052631579
ARID2,0.052631579
ITGAV,0.052631579
CTNNA2,0.052631579
EIF2AK3,0.052631579
SPTBN2,0.052631579
RAPGEF3,0.052631579
FMNL3,0.052631579
TBC1D22A,0.052631579
DYRK2,0.052631579
FLRT1,0.052631579
CELSR1,0.052631579
PLCB3,0.052631579
ADCY3,0.052631579
PKDREJ,0.052631579
ABCC9,0.052631579
SSFA2,0.052631579
ARHGAP32,0.052631579
ENOX2,0.052631579
NKAP,0.052631579
TCF20,0.052631579
RP1-274L7.1,0.052631579
HDAC7,0.052631579
OR2L13,0.052631579
TMEM131,0.052631579
KANSL1L,0.052631579
RAD51AP2,0.052631579
ELAC2,0.052631579
CLEC4D,0.052631579
MAGEB4,0.052631579
CEP290,0.052631579
NUAK1,0.052631579
MSH2,0.052631579
H2BFWT,0.052631579
RCVRN,0.052631579
MAGEB2,0.052631579
ARHGEF6,0.052631579
CXCR2,0.052631579
UGT1A3,0.052631579
MTMR2,0.052631579
CNTN5,0.052631579
HEATR1,0.052631579
DGKD,0.052631579
FN1,0.052631579
AGAP1,0.052631579
IQCA1,0.052631579
KLRG1,0.052631579
GGPS1,0.052631579
HS3ST3A1,0.052631579
BTBD11,0.052631579
NAALAD2,0.052631579
FAM228B,0.052631579
PER2,0.052631579
CPS1,0.052631579
ALAS2,0.052631579
TMEM178A,0.052631579
MAP4K3,0.052631579
ITGB7,0.052631579
