gene_name,TCGA-STAD(Asian)(89)
PDE10A,0.078651685
SCN3A,0.078651685
RNF43,0.078651685
GPATCH8,0.078651685
COL5A1,0.078651685
TNRC6B,0.078651685
COL1A2,0.078651685
KCNT1,0.078651685
PCDH18,0.078651685
SEMA5A,0.078651685
CDH11,0.078651685
SRCAP,0.078651685
STAB2,0.078651685
ITGAL,0.078651685
CFH,0.078651685
ROBO2,0.078651685
MUSK,0.078651685
IGF2R,0.078651685
LAMA5,0.078651685
TRO,0.078651685
BRINP3,0.078651685
AEBP1,0.078651685
FRAS1,0.078651685
POLE,0.078651685
PKHD1,0.078651685
SORL1,0.078651685
OSBPL6,0.078651685
ABCA2,0.078651685
CHD6,0.078651685
SEC31B,0.078651685
ATP10B,0.078651685
CYFIP2,0.078651685
PHF2,0.078651685
NCOR2,0.078651685
DNAH10,0.078651685
DLGAP3,0.078651685
SUPT6H,0.078651685
KIAA0100,0.078651685
BSN,0.078651685
PHF3,0.078651685
LAMA2,0.078651685
ANO4,0.078651685
VCAN,0.078651685
ATR,0.078651685
MYO1F,0.078651685
PCDHA10,0.078651685
MYO18B,0.078651685
PAPPA,0.078651685
PXDNL,0.078651685
MED12L,0.078651685
KIAA2022,0.078651685
ERAP1,0.078651685
TTC37,0.078651685
THBS4,0.078651685
GRIA2,0.078651685
FMN2,0.078651685
AKAP6,0.078651685
NUP210,0.078651685
FAM47C,0.078651685
MUC6,0.078651685
PRKD1,0.078651685
MEGF8,0.078651685
CNTN3,0.078651685
COL20A1,0.078651685
MS4A14,0.078651685
KCNJ3,0.078651685
PLXNA3,0.078651685
ASCC3,0.078651685
TNN,0.078651685
VWF,0.078651685
TEX15,0.078651685
LCT,0.078651685
NINL,0.078651685
CTNNB1,0.078651685
ASH1L,0.078651685
ZNF292,0.078651685
SCAF4,0.078651685
MADD,0.078651685
PSME4,0.078651685
CCAR1,0.078651685
PLXNA1,0.078651685
WNK1,0.078651685
CUX1,0.078651685
SCN10A,0.078651685
GRM4,0.078651685
COL6A6,0.078651685
DMXL1,0.078651685
SYT16,0.078651685
KCNN2,0.078651685
STAG1,0.078651685
HERC2P3,0.078651685
SRBD1,0.078651685
RAI1,0.078651685
SYCE1,0.078651685
KIAA1024,0.078651685
RBM33,0.078651685
MYO16,0.078651685
SNRNP200,0.078651685
SP8,0.078651685
ABCB4,0.078651685
EPPK1,0.078651685
COL4A4,0.078651685
JARID2,0.078651685
WHSC1,0.078651685
FAM193A,0.078651685
HIVEP1,0.078651685
ZNF570,0.078651685
TRPS1,0.078651685
SLITRK6,0.078651685
SLITRK1,0.078651685
FAM184A,0.078651685
CNTN1,0.078651685
MICAL3,0.078651685
EVC2,0.078651685
TRPM6,0.078651685
PTPRZ1,0.078651685
MAP3K13,0.078651685
ARID4B,0.078651685
AFF2,0.078651685
MYH6,0.078651685
CNTN6,0.078651685
GPX5,0.078651685
IFI16,0.078651685
SV2C,0.078651685
PRAMEF15,0.078651685
CHL1,0.078651685
PCDH11X,0.078651685
TBC1D16,0.078651685
NCKAP5,0.078651685
NUP188,0.078651685
MYH7B,0.078651685
COL6A2,0.078651685
CACNA1E,0.078651685
CPAMD8,0.078651685
SLITRK2,0.078651685
AGAP1,0.078651685
KCND2,0.078651685
NRXN2,0.078651685
PCNT,0.078651685
KRT25,0.078651685
RP11-85G18.6,0.06741573
BCL9L,0.06741573
PCDHB15,0.06741573
PCDHGB1,0.06741573
LAMC3,0.06741573
ST8SIA6,0.06741573
SPTY2D1,0.06741573
AUTS2,0.06741573
ELMO1,0.06741573
MAP2K7,0.06741573
PCDHA2,0.06741573
FBN3,0.06741573
DPYD,0.06741573
PRF1,0.06741573
NAV2,0.06741573
ADAMTS14,0.06741573
PCDHA12,0.06741573
NELL1,0.06741573
OR7E24,0.06741573
THSD7A,0.06741573
IPO9,0.06741573
KCNMA1,0.06741573
ZNF335,0.06741573
AXL,0.06741573
GRID1,0.06741573
PCDHB5,0.06741573
KCNQ5,0.06741573
SPTAN1,0.06741573
STXBP5,0.06741573
OGDHL,0.06741573
CROT,0.06741573
PARD3,0.06741573
SBF2,0.06741573
CHRNA4,0.06741573
WDR62,0.06741573
KIAA1683,0.06741573
CEP350,0.06741573
GABBR1,0.06741573
DAGLA,0.06741573
ZNF568,0.06741573
PCDHGA5,0.06741573
ADAM8,0.06741573
MCM3AP,0.06741573
AMPD3,0.06741573
SLC39A12,0.06741573
DIP2A,0.06741573
CDC42BPG,0.06741573
ROS1,0.06741573
EBF3,0.06741573
EHMT2,0.06741573
GPSM3,0.06741573
ABCA13,0.06741573
CFAP61,0.06741573
DGKZ,0.06741573
KIF6,0.06741573
SVIL,0.06741573
DUSP27,0.06741573
WDR55,0.06741573
TIAM1,0.06741573
MYT1,0.06741573
PTPRJ,0.06741573
CNR1,0.06741573
GMIP,0.06741573
SCUBE3,0.06741573
ADCY10,0.06741573
POM121L12,0.06741573
SON,0.06741573
TRIM51HP,0.06741573
SEMA3C,0.06741573
ASTN1,0.06741573
DMBT1,0.06741573
COL24A1,0.06741573
PCNXL3,0.06741573
MLLT4,0.06741573
ZNFX1,0.06741573
CNTN5,0.06741573
JAKMIP2,0.06741573
CARD11,0.06741573
PDGFD,0.06741573
KCNA4,0.06741573
ATP1A4,0.06741573
ARFGEF2,0.06741573
PCDHGC4,0.06741573
ATM,0.06741573
TNRC18,0.06741573
ERCC6,0.06741573
NCAM2,0.06741573
PPP1R9A,0.06741573
OR6Y1,0.06741573
SMARCA4,0.06741573
RUSC1,0.06741573
SEC16A,0.06741573
ZNF490,0.06741573
CTSW,0.06741573
MAP3K4,0.06741573
HIP1,0.06741573
TDRD6,0.06741573
RREB1,0.06741573
NPAS4,0.06741573
SPTBN2,0.06741573
ZNF804B,0.06741573
LCA5,0.06741573
HECA,0.06741573
LTN1,0.06741573
CEP250,0.06741573
NUMA1,0.06741573
SAMD9,0.06741573
PRSS35,0.06741573
ARAP1,0.06741573
PCK1,0.06741573
CACNA1A,0.06741573
TIAM2,0.06741573
GRIN1,0.06741573
FHOD3,0.06741573
ANO2,0.06741573
TP53BP1,0.06741573
ADAMTS9,0.06741573
CNTLN,0.06741573
UBR4,0.06741573
TRPM1,0.06741573
AQR,0.06741573
AMER1,0.06741573
TCHH,0.06741573
AR,0.06741573
PRKDC,0.06741573
LAMB2,0.06741573
ZNF106,0.06741573
COL7A1,0.06741573
TAF1,0.06741573
SNAI2,0.06741573
SEMA6D,0.06741573
WFIKKN2,0.06741573
MYEF2,0.06741573
COPS2,0.06741573
ATP8B4,0.06741573
AP4E1,0.06741573
MPDZ,0.06741573
DLEC1,0.06741573
KANK1,0.06741573
SNTG1,0.06741573
OPRK1,0.06741573
HERC1,0.06741573
ZNF609,0.06741573
TONSL,0.06741573
KAZN,0.06741573
CPSF1,0.06741573
MKRN3,0.06741573
LINGO2,0.06741573
ZIC1,0.06741573
KCNK10,0.06741573
KIAA0195,0.06741573
ZBTB38,0.06741573
DZIP1L,0.06741573
DNAJC13,0.06741573
KCNH5,0.06741573
BNIP3L,0.06741573
ZFYVE26,0.06741573
ZNF845,0.06741573
SIPA1L1,0.06741573
UROC1,0.06741573
ABCA10,0.06741573
PSD2,0.06741573
MYLK,0.06741573
ABCA8,0.06741573
SEMA5B,0.06741573
JAG2,0.06741573
ARHGAP31,0.06741573
NRG1,0.06741573
CCDC80,0.06741573
BTBD7,0.06741573
OR2AK2,0.06741573
CCNB3,0.06741573
NOL6,0.06741573
COL8A1,0.06741573
KCNH6,0.06741573
EPHA3,0.06741573
SMG8,0.06741573
TEX14,0.06741573
HUWE1,0.06741573
CDC42BPB,0.06741573
SRGAP3,0.06741573
GRM7,0.06741573
PUM2,0.06741573
IGSF1,0.06741573
MSC,0.06741573
TAOK2,0.06741573
ULK2,0.06741573
RPL22,0.06741573
CHD5,0.06741573
TANC1,0.06741573
PKP4,0.06741573
BIRC6,0.06741573
GALNT5,0.06741573
PHKB,0.06741573
LTBP1,0.06741573
RIF1,0.06741573
KCNB2,0.06741573
JPH1,0.06741573
CNBD1,0.06741573
PML,0.06741573
MYH4,0.06741573
GAS7,0.06741573
Unknown,0.06741573
MYH10,0.06741573
MAGEC3,0.06741573
GDF6,0.06741573
CHD3,0.06741573
POLR1A,0.06741573
JPH3,0.06741573
SYBU,0.06741573
TET3,0.06741573
ALMS1,0.06741573
UBR5,0.06741573
PITPNM3,0.06741573
SCN2A,0.06741573
XDH,0.06741573
KSR1,0.06741573
VTN,0.06741573
HDLBP,0.06741573
ADAMTS7,0.06741573
RASGRF1,0.06741573
IL16,0.06741573
TRIP12,0.06741573
ALPK3,0.06741573
AKAP13,0.06741573
AGBL1,0.06741573
LENG8,0.06741573
ACAN,0.06741573
ZC3H3,0.06741573
ATG9A,0.06741573
MTOR,0.06741573
CACNA1H,0.06741573
MROH5,0.06741573
KIF1B,0.06741573
COL22A1,0.06741573
SLX4,0.06741573
BCL9,0.06741573
C2orf16,0.06741573
ITGAV,0.06741573
RBFOX1,0.06741573
EFCAB5,0.06741573
ZFAT,0.06741573
PDXDC1,0.06741573
KIAA0430,0.06741573
MYH11,0.06741573
ABCC1,0.06741573
PLB1,0.06741573
DOCK5,0.06741573
TTLL5,0.06741573
USP9X,0.06741573
MED13L,0.06741573
CEP290,0.06741573
FBXW7,0.06741573
CPT1C,0.06741573
CACNA1I,0.06741573
ZNF407,0.06741573
DSEL,0.06741573
MKL1,0.06741573
BTBD11,0.06741573
WSCD2,0.06741573
KIAA1549,0.06741573
COL15A1,0.06741573
C7orf55-LUC7L2,0.06741573
KIAA1468,0.06741573
CCDC180,0.06741573
CYLC2,0.06741573
NDST3,0.06741573
GCN1L1,0.06741573
ZNF473,0.06741573
MMRN1,0.06741573
TCEB3B,0.06741573
PTPN13,0.06741573
EPHB6,0.06741573
ROR2,0.06741573
EPG5,0.06741573
ANKRD20A9P,0.06741573
PROKR2,0.06741573
PIK3C3,0.06741573
TUBGCP6,0.06741573
KCNC2,0.06741573
ZFC3H1,0.06741573
MTUS2,0.06741573
UGT3A1,0.06741573
SMARCB1,0.06741573
FBN2,0.06741573
BRINP1,0.06741573
CABIN1,0.06741573
SLCO6A1,0.06741573
SLCO4C1,0.06741573
CTTNBP2,0.06741573
DEPDC5,0.06741573
SYT10,0.06741573
ALG10B,0.06741573
AASS,0.06741573
PRICKLE1,0.06741573
IQUB,0.06741573
RXFP3,0.06741573
NUP210L,0.06741573
ZFR,0.06741573
CDH12,0.06741573
CR1L,0.06741573
PLXNA2,0.06741573
ERBB3,0.06741573
PAN2,0.06741573
SLC12A7,0.06741573
GLI1,0.06741573
ABCA1,0.06741573
KCNH1,0.06741573
CD93,0.06741573
WDR17,0.06741573
FLNC,0.06741573
SPATA31C2,0.06741573
PLCB4,0.06741573
RXFP2,0.06741573
ZNF658,0.06741573
PCDH8,0.06741573
CEP192,0.06741573
PIBF1,0.06741573
LMO7,0.06741573
HTT,0.06741573
PIGG,0.06741573
TTC13,0.06741573
PTPRN2,0.06741573
ITPKB,0.06741573
METTL17,0.06741573
TTC14,0.06741573
SLIT2,0.06741573
NLGN1,0.06741573
SPATA31A1,0.06741573
MSR1,0.06741573
WDR49,0.06741573
HEATR1,0.06741573
LRRC16B,0.06741573
ACTN2,0.06741573
EVPL,0.06741573
TRIM28,0.06741573
MDGA2,0.06741573
NCAPG,0.06741573
ZNF615,0.06741573
CIC,0.06741573
SLC4A2,0.06741573
ZNF521,0.06741573
KCTD8,0.06741573
AKAP11,0.06741573
COL16A1,0.06741573
SPATA31C1,0.06741573
NPC1,0.06741573
ROCK1,0.06741573
POSTN,0.06741573
GPR37,0.056179775
SCARA5,0.056179775
GRM8,0.056179775
MYBL2,0.056179775
KIAA1324L,0.056179775
FCRL5,0.056179775
TRPV6,0.056179775
USP29,0.056179775
PLCB1,0.056179775
INHBA,0.056179775
SOX17,0.056179775
CDK13,0.056179775
SEMA3D,0.056179775
ARHGEF11,0.056179775
PSD3,0.056179775
SEMA3A,0.056179775
SOGA1,0.056179775
ESRP1,0.056179775
GFRA2,0.056179775
CCAR2,0.056179775
ARHGEF2,0.056179775
PLOD3,0.056179775
LAMB4,0.056179775
ERICH3,0.056179775
LAMB1,0.056179775
PYGB,0.056179775
PIK3CG,0.056179775
SLC12A9,0.056179775
CHPF2,0.056179775
MEX3A,0.056179775
CHRM2,0.056179775
ANK1,0.056179775
ABCB1,0.056179775
DHX35,0.056179775
DPP6,0.056179775
POGZ,0.056179775
PENK,0.056179775
INTS3,0.056179775
TRIM55,0.056179775
MYBL1,0.056179775
VCPIP1,0.056179775
NPC1L1,0.056179775
WBSCR17,0.056179775
RRBP1,0.056179775
MLXIPL,0.056179775
CACNA2D1,0.056179775
FCRL3,0.056179775
DLGAP4,0.056179775
ZNF549,0.056179775
FLG2,0.056179775
TAF6,0.056179775
WDR60,0.056179775
GON4L,0.056179775
IQGAP3,0.056179775
XKR7,0.056179775
RP1L1,0.056179775
EYA1,0.056179775
KCNU1,0.056179775
ZNF135,0.056179775
NYAP1,0.056179775
ATP8B2,0.056179775
SOX7,0.056179775
MMP16,0.056179775
AMPH,0.056179775
EP300,0.056179775
MAGEB6P1,0.056179775
ATP11B,0.056179775
RBM34,0.056179775
GHSR,0.056179775
PLD1,0.056179775
SI,0.056179775
PLCH1,0.056179775
KMO,0.056179775
SIAH2,0.056179775
GPR82,0.056179775
NLRP3,0.056179775
IFT122,0.056179775
COPG1,0.056179775
CASR,0.056179775
GOLGB1,0.056179775
BOC,0.056179775
MORC1,0.056179775
MYH15,0.056179775
IMPG2,0.056179775
KDM5C,0.056179775
PDZRN3,0.056179775
FGD1,0.056179775
LRIG1,0.056179775
MAGI1,0.056179775
ITIH4,0.056179775
PXDN,0.056179775
RBM6,0.056179775
MCF2L2,0.056179775
EIF2B5,0.056179775
PSMD2,0.056179775
EXOC1,0.056179775
LARP1B,0.056179775
RAB3GAP2,0.056179775
COL25A1,0.056179775
TCF20,0.056179775
UNC5C,0.056179775
MIA3,0.056179775
AFF1,0.056179775
WDFY3,0.056179775
ADGRL3,0.056179775
ADGRL2,0.056179775
SEC31A,0.056179775
PKDREJ,0.056179775
CORIN,0.056179775
MLK4,0.056179775
ATP10D,0.056179775
PDS5A,0.056179775
SLC34A2,0.056179775
KAL1,0.056179775
DHX15,0.056179775
WWC3,0.056179775
AFAP1,0.056179775
KIAA0232,0.056179775
EVC,0.056179775
SH3KBP1,0.056179775
TP63,0.056179775
ADGRB1,0.056179775
MST1R,0.056179775
DAG1,0.056179775
KIDINS220,0.056179775
SLC8A1,0.056179775
HOXD4,0.056179775
KIAA1210,0.056179775
FIGN,0.056179775
KCNH7,0.056179775
STRN,0.056179775
MBD5,0.056179775
THSD7B,0.056179775
SMARCA1,0.056179775
SMPD4,0.056179775
WDR33,0.056179775
MYO7B,0.056179775
ERCC3,0.056179775
BUB1,0.056179775
NCKAP1,0.056179775
RGPD4,0.056179775
GPR45,0.056179775
SLC9A4,0.056179775
EIF5B,0.056179775
SAGE1,0.056179775
SOX3,0.056179775
MAGEC1,0.056179775
DQX1,0.056179775
DYSF,0.056179775
ZNF638,0.056179775
L1CAM,0.056179775
F8,0.056179775
ITGA4,0.056179775
FAM171B,0.056179775
TRAK1,0.056179775
ADCY3,0.056179775
TSIX,0.056179775
GREB1,0.056179775
DCLK3,0.056179775
NBAS,0.056179775
THRB,0.056179775
ZNF385D,0.056179775
KCNH8,0.056179775
CAND2,0.056179775
ATP2B2,0.056179775
DACH2,0.056179775
HNRNPH2,0.056179775
ARMCX1,0.056179775
COL4A3,0.056179775
COL3A1,0.056179775
IRS1,0.056179775
DOCK10,0.056179775
GPRASP1,0.056179775
OBSL1,0.056179775
OTOF,0.056179775
KANSL1L,0.056179775
RNF128,0.056179775
ZDBF2,0.056179775
FRMPD3,0.056179775
SGOL2,0.056179775
IRS4,0.056179775
MYO1B,0.056179775
SCLT1,0.056179775
HHIP,0.056179775
BBS9,0.056179775
NR3C2,0.056179775
IBTK,0.056179775
MYO6,0.056179775
CLK2P1,0.056179775
TMPRSS15,0.056179775
F5,0.056179775
HMGCLL1,0.056179775
SCYL3,0.056179775
EFHC1,0.056179775
ADAMTS1,0.056179775
RUNX2,0.056179775
ABCC10,0.056179775
ZNF318,0.056179775
KLC4,0.056179775
DAAM2,0.056179775
SLC9C2,0.056179775
SLC26A8,0.056179775
UHRF1BP1,0.056179775
ITSN1,0.056179775
PAPPA2,0.056179775
NOTCH4,0.056179775
BRWD1,0.056179775
DDX39B,0.056179775
HLA-B,0.056179775
KRTAP10-4,0.056179775
COL18A1,0.056179775
ZNF648,0.056179775
KIF13A,0.056179775
TPTE,0.056179775
BACH2,0.056179775
MAP3K7,0.056179775
ARID1B,0.056179775
PDE1C,0.056179775
HOXA2,0.056179775
HDAC9,0.056179775
DGKB,0.056179775
MMP9,0.056179775
SLC12A5,0.056179775
ZNF334,0.056179775
IGSF9,0.056179775
ZMYND8,0.056179775
NFATC2,0.056179775
C6orf118,0.056179775
QKI,0.056179775
CTCFL,0.056179775
MANEA,0.056179775
PLEKHG1,0.056179775
GRM1,0.056179775
SHPRH,0.056179775
NELFCD,0.056179775
PHACTR2,0.056179775
TAF4,0.056179775
SOGA3,0.056179775
CEP85L,0.056179775
SLC22A16,0.056179775
CDC40,0.056179775
AK9,0.056179775
GRIK2,0.056179775
LAMC2,0.056179775
ARVCF,0.056179775
FLT4,0.056179775
MROH2B,0.056179775
KDM3B,0.056179775
BCR,0.056179775
FSTL4,0.056179775
CHSY3,0.056179775
MEGF10,0.056179775
SGSM1,0.056179775
SEZ6L,0.056179775
CNTN2,0.056179775
AP1B1,0.056179775
BDP1,0.056179775
SMTN,0.056179775
LARGE,0.056179775
UGT3A2,0.056179775
PCDHA1,0.056179775
ARFGEF3,0.056179775
DROSHA,0.056179775
CR1,0.056179775
ADAMTS16,0.056179775
ELFN2,0.056179775
TRIML2,0.056179775
SORBS2,0.056179775
DDX17,0.056179775
CLCN3,0.056179775
CPE,0.056179775
FSTL5,0.056179775
FGA,0.056179775
ANKHD1-EIF4EBP3,0.056179775
PPP1R12B,0.056179775
DGCR8,0.056179775
PTPRC,0.056179775
ZNF454,0.056179775
SWT1,0.056179775
PRG4,0.056179775
CDHR2,0.056179775
CEMIP,0.056179775
HIC2,0.056179775
EBF1,0.056179775
FAT2,0.056179775
CSF1R,0.056179775
FBXO38,0.056179775
POU4F3,0.056179775
RBM27,0.056179775
PCDHGA8,0.056179775
PCDHA6,0.056179775
PCDHGB4,0.056179775
PCDHGA7,0.056179775
PCDHGB3,0.056179775
PCDHGA3,0.056179775
KIF21B,0.056179775
CACNA1S,0.056179775
PCDHB14,0.056179775
PCDHB11,0.056179775
PCDHB8,0.056179775
PCDHB3,0.056179775
PCDHA13,0.056179775
PCDHA7,0.056179775
DCAF13,0.056179775
LHCGR,0.056179775
GRIP1,0.056179775
RNF113B,0.056179775
DLG2,0.056179775
HOOK2,0.056179775
ATP1A3,0.056179775
FOLH1B,0.056179775
TET1,0.056179775
KRT34,0.056179775
ITGA11,0.056179775
UACA,0.056179775
MTCL1,0.056179775
ZNF227,0.056179775
