gene_name,TCGA-UCEC(Asian)(20)
ASTN1,0.3
KIAA1217,0.3
CERKL,0.3
TIAM2,0.3
RASA1,0.3
ZNF761,0.3
FRMPD4,0.3
MUSK,0.3
SVEP1,0.3
F8,0.3
VPS13C,0.3
NONO,0.3
LCA5,0.3
CTCF,0.3
CCAR2,0.3
GFRA2,0.3
ABCA10,0.3
FAM13A,0.3
API5,0.3
FAT2,0.3
STAG2,0.3
PTPRZ1,0.3
PTPRB,0.3
PAPOLA,0.3
TANC2,0.3
ACACB,0.3
VPS8,0.3
ZNF292,0.3
NCAM1,0.3
NAP1L2,0.3
CUX1,0.3
SORCS1,0.3
CHD6,0.3
UTP14C,0.3
GLRA2,0.3
HIVEP2,0.3
MUC17,0.3
MXRA5,0.3
EPHA5,0.3
TTC37,0.3
PDE10A,0.3
TRPM7,0.3
GPR34,0.3
DENND4A,0.3
CCDC63,0.3
PXDNL,0.3
ST18,0.3
SLC9C1,0.3
KAT6A,0.3
ADGRF2,0.3
KIF5B,0.3
ABI2,0.3
IGF2R,0.3
SNX19,0.3
RELN,0.3
NRG1,0.3
CASP8,0.3
NCBP1,0.3
TNR,0.3
KCNU1,0.3
ALS2CR11,0.3
MED13,0.3
NFE2L2,0.3
CNTN1,0.3
TDRD6,0.3
LRRC17,0.3
STK31,0.3
PTCH1,0.3
MYO5A,0.3
OR4C6,0.3
PHF8,0.3
DNAH10,0.3
SAMD9,0.3
KLHL4,0.3
WDR87,0.3
SEC24D,0.3
TET3,0.3
C1orf168,0.3
SYNPO2,0.3
GON4L,0.3
NRK,0.3
SYDE2,0.3
PHLDB1,0.3
MECOM,0.3
LRRFIP1,0.3
KCNMA1,0.3
TBC1D31,0.3
ATAD2,0.3
RERE,0.3
GRM7,0.3
CKAP5,0.3
CFAP47,0.3
FER1L6,0.3
AHNAK,0.3
KIF3A,0.3
FOCAD,0.3
CRYBG3,0.3
CYP2C18,0.3
STIM2,0.3
ZNF781,0.3
SLITRK3,0.3
CFAP54,0.3
GALC,0.3
TET1,0.3
FLRT2,0.3
ZFPM2,0.3
PRKG2,0.3
PPFIBP1,0.3
CNOT1,0.3
SSH2,0.3
SMG1,0.3
CLCA1,0.3
TAF1L,0.3
ZNF571,0.3
YTHDC2,0.3
LAMA1,0.3
TC2N,0.3
COL24A1,0.3
USP40,0.3
SPTY2D1,0.3
SUPT20HL2,0.3
USP34,0.3
SETX,0.3
SCN10A,0.3
AK9,0.3
NF1,0.3
TUBGCP6,0.3
PLCB4,0.3
LMBRD2,0.3
SMARCA1,0.3
ANKEF1,0.3
FRAS1,0.3
TPTE,0.3
DEPDC1,0.3
KIAA1109,0.3
KIF14,0.3
ADGRL3,0.3
KANK1,0.3
ZNF608,0.3
RNF128,0.3
DOCK3,0.3
REV3L,0.3
SLC16A10,0.3
PLXNC1,0.3
FRY,0.3
C5orf42,0.3
LRP1,0.3
ETV3,0.3
PDS5B,0.3
ZNF727,0.3
RIC1,0.3
ZNF716,0.3
CHD5,0.3
EPHA3,0.3
HERC2,0.3
LYST,0.3
C9,0.3
CCDC171,0.3
FREM1,0.3
PTGFR,0.3
AGBL5,0.3
PHF20L1,0.3
ZNF43,0.3
ZNF208,0.3
ZNF257,0.3
PCDH18,0.3
LAMA4,0.3
WAPAL,0.3
ST5,0.3
TP63,0.3
GPM6A,0.3
SMC4,0.3
PCDHA12,0.3
DOCK11,0.3
DNAH8,0.3
SCN9A,0.3
BRCA1,0.3
IRS1,0.3
PKHD1,0.3
COL4A3,0.3
KANSL1,0.3
MAP1A,0.3
ANO3,0.3
TTC21B,0.3
TP53,0.3
AKAP4,0.3
USP16,0.3
MGA,0.3
TLN1,0.3
KIAA0586,0.3
UGGT1,0.3
ABCB7,0.3
UBR4,0.3
BICC1,0.3
RBFOX1,0.3
TRIM31,0.3
GNPTAB,0.3
POLR1A,0.3
CACNA1A,0.3
EPHA7,0.3
MED23,0.3
MIB1,0.3
NID2,0.3
ESCO1,0.3
CNTNAP3,0.3
SEC31A,0.3
RNF103,0.3
FLG,0.3
DNAH6,0.3
CCDC18,0.3
HRNR,0.3
KLHL5,0.3
OBSCN,0.3
EYS,0.3
CLCN5,0.3
COL4A2,0.3
SP140,0.3
APC,0.3
TENM3,0.3
UBR5,0.3
NUP210L,0.3
ARHGAP44,0.3
ZC3H14,0.3
TRIP12,0.3
PCNX,0.3
RTKN2,0.3
E2F7,0.25
ITIH6,0.25
ABHD2,0.25
NEBL,0.25
NEXN,0.25
CPED1,0.25
JARID2,0.25
DLGAP4,0.25
ZC3HAV1,0.25
DNAH12,0.25
NUP205,0.25
SUPT7L,0.25
DOPEY2,0.25
PTPN11,0.25
NCOA6,0.25
EPB41L1,0.25
DEPDC5,0.25
SCAF11,0.25
MYO7B,0.25
PHF20,0.25
ABCA6,0.25
MTF2,0.25
TRPV5,0.25
HINFP,0.25
DNAH17,0.25
CACNA1E,0.25
MAP3K19,0.25
TCTE1,0.25
ZNF645,0.25
ABCA4,0.25
POLG,0.25
MSH4,0.25
NAA25,0.25
ABCA5,0.25
HECTD4,0.25
TOX3,0.25
MPRIP,0.25
GCC2,0.25
LCT,0.25
OR4C3,0.25
ZNF512,0.25
TNPO1,0.25
EXOC7,0.25
DIXDC1,0.25
ULK4,0.25
FLT4,0.25
ERC2,0.25
SMC1A,0.25
DKC1,0.25
MICAL3,0.25
NXPE1,0.25
TPR,0.25
COLGALT2,0.25
ODF2L,0.25
ICE2,0.25
BNC1,0.25
CCDC144A,0.25
WNK3,0.25
DENND1B,0.25
RSPH10B2,0.25
BLOC1S5-TXNDC5,0.25
CFAP58,0.25
L3MBTL1,0.25
COL11A1,0.25
ZNF229,0.25
DENND2A,0.25
ICE1,0.25
TOPAZ1,0.25
USP28,0.25
AKNAD1,0.25
ITIH2,0.25
LIG4,0.25
G2E3,0.25
SEC16A,0.25
MUM1L1,0.25
ENOX2,0.25
RAB6C,0.25
POTEB3,0.25
THSD7A,0.25
CFAP44,0.25
PHACTR1,0.25
BAZ2A,0.25
GK2,0.25
PEAK1,0.25
NPL,0.25
ZNF644,0.25
HECTD1,0.25
POTEF,0.25
OR5I1,0.25
FGA,0.25
NCOR1,0.25
MKLN1,0.25
PLA2G4A,0.25
ZNF226,0.25
TACC2,0.25
MCOLN3,0.25
LRRC4,0.25
CCDC66,0.25
RBM39,0.25
SH3PXD2A,0.25
RGPD4,0.25
HACD1,0.25
INPPL1,0.25
AMOTL2,0.25
PDZD2,0.25
LRRTM3,0.25
NOMO1,0.25
OLFML2B,0.25
MYPN,0.25
ATF6,0.25
CCDC88A,0.25
KCNN3,0.25
DNA2,0.25
SHANK2,0.25
MYH11,0.25
MYO18A,0.25
MYH6,0.25
ATP2A1,0.25
NPR3,0.25
PPP6R3,0.25
CEP290,0.25
NRXN3,0.25
CDH23,0.25
NDST3,0.25
SLC4A5,0.25
UHRF1BP1L,0.25
PPP3CB,0.25
SYNPO2L,0.25
CHM,0.25
CCDC152,0.25
CTNNA2,0.25
KIAA0100,0.25
SLC22A16,0.25
ZNF148,0.25
SAMD9L,0.25
C11orf30,0.25
DSCAM,0.25
NRXN1,0.25
KPRP,0.25
DGKK,0.25
PCDH19,0.25
LTN1,0.25
CLDN12,0.25
ZNF804B,0.25
SLCO2B1,0.25
ZNFX1,0.25
GRIN2A,0.25
MPP2,0.25
CCDC146,0.25
CIITA,0.25
MYBPC1,0.25
PPP1R12C,0.25
CACNA2D1,0.25
HGF,0.25
CCNB3,0.25
NBR1,0.25
ITGA2,0.25
AP1G2,0.25
SMARCA5,0.25
ERCC4,0.25
EML6,0.25
MYH7,0.25
TYW1B,0.25
STAMBP,0.25
NDST2,0.25
TNKS2,0.25
GGNBP2,0.25
EGFLAM,0.25
BRWD3,0.25
PABPC4L,0.25
CD1C,0.25
ADAMTS5,0.25
SLAMF7,0.25
NIPBL,0.25
BTAF1,0.25
CCL14,0.25
BBS12,0.25
FGF2,0.25
MLH3,0.25
CACNA1F,0.25
BCL11A,0.25
XPO6,0.25
CALCOCO1,0.25
PKD1L1,0.25
SLFN12L,0.25
PCDH10,0.25
CACNA2D2,0.25
TNRC6A,0.25
ZMIZ2,0.25
SUZ12,0.25
CCT6B,0.25
CEP68,0.25
MYO1D,0.25
IFIT3,0.25
LIFR,0.25
EEA1,0.25
KIF11,0.25
UHRF1BP1,0.25
AUTS2,0.25
ANKS1B,0.25
TOP2A,0.25
ATP2C1,0.25
PIK3R4,0.25
ALMS1,0.25
NDUFS2,0.25
MAML3,0.25
APAF1,0.25
LVRN,0.25
SPTBN2,0.25
PDILT,0.25
MROH2B,0.25
ZNF638,0.25
TXNRD3,0.25
KERA,0.25
ZNF334,0.25
SLC9A7P1,0.25
NES,0.25
DCN,0.25
HDAC6,0.25
ZNF733P,0.25
ATAD5,0.25
CATSPER1,0.25
INTS5,0.25
FAM161A,0.25
ACACA,0.25
HHIP,0.25
CCDC132,0.25
CDC27,0.25
RABGAP1L,0.25
CHD2,0.25
RASAL2,0.25
ABCC10,0.25
MRC2,0.25
ZNF318,0.25
ARMC4,0.25
LRRC16A,0.25
FAM46C,0.25
ZNF720,0.25
ZNF286B,0.25
SLC17A3,0.25
OSGEP,0.25
CUL9,0.25
ANKRD36,0.25
DDX3X,0.25
LRBA,0.25
KB-7G2.8,0.25
CNTN5,0.25
FER1L5,0.25
ZFYVE26,0.25
CLTC,0.25
NLRP12,0.25
PDE4DIP,0.25
ARMCX5,0.25
TRIO,0.25
MED14,0.25
CREM,0.25
PLOD3,0.25
DYNC2H1,0.25
REV1,0.25
DUS4L,0.25
MED12L,0.25
ATRNL1,0.25
CFTR,0.25
BPTF,0.25
NAV3,0.25
STXBP5L,0.25
POLQ,0.25
ANPEP,0.25
FAM47C,0.25
ADNP,0.25
TIGD2,0.25
TTC3,0.25
DDX20,0.25
FOXP2,0.25
PPP1R3A,0.25
MYO15A,0.25
TDRD1,0.25
BLM,0.25
MYO3A,0.25
GAD2,0.25
PRKD3,0.25
GRID2,0.25
FYCO1,0.25
IGSF1,0.25
TEX2,0.25
LAMB4,0.25
LAMB1,0.25
AMPD1,0.25
NCAM2,0.25
ANKRD36C,0.25
MTCL1,0.25
DKK2,0.25
SYTL2,0.25
CCDC89,0.25
TFEB,0.25
ZNF655,0.25
BRWD1,0.25
KDM6A,0.25
DLG2,0.25
NEUROD4,0.25
ABCA3,0.25
TENM4,0.25
TRRAP,0.25
SEMA6C,0.25
FRMPD2,0.25
ERICH3,0.25
SLK,0.25
KALRN,0.25
POGZ,0.25
DNMBP,0.25
TIGD7,0.25
DUSP27,0.25
SCN8A,0.25
RPGRIP1,0.25
PPP1R9A,0.25
STON1,0.25
MYO7A,0.25
SLX4,0.25
EFCAB13,0.25
PARG,0.25
SLC8A3,0.25
OTUD4,0.25
CPVL,0.25
CENPI,0.25
ANKRD30A,0.25
THADA,0.25
XIRP1,0.25
ARMCX2,0.25
NBPF12,0.25
GALNT16,0.25
PANX1,0.25
ZAN,0.25
HEPHL1,0.25
MED17,0.25
RP11-313J2.1,0.25
BTN2A2,0.25
ANKRD20A8P,0.25
SETD2,0.25
ZNF485,0.25
ARMCX1,0.25
NARFL,0.25
SCYL3,0.25
SLC6A15,0.25
TYR,0.25
SPECC1,0.25
F5,0.25
TAF6,0.25
ZFAND4,0.25
LRRIQ1,0.25
SEZ6L,0.25
UNC79,0.25
CAMSAP2,0.25
THSD4,0.25
ARID2,0.25
ZDBF2,0.25
TBC1D19,0.25
JAKMIP2,0.25
PTPRS,0.25
SEC63,0.25
SRGAP1,0.25
ANKLE2,0.25
POLE,0.25
DPP9,0.25
NEK5,0.25
DMXL2,0.25
VWF,0.25
GNPAT,0.25
ZC3H12B,0.25
BICD2,0.25
ANKRD28,0.25
CEP135,0.25
NDUFS1,0.25
FAM71A,0.25
TRIM6,0.25
HSPA13,0.25
MCTP1,0.25
KIF1B,0.25
FBXO30,0.25
ZNF611,0.25
KDR,0.25
LDHAL6A,0.25
ICA1L,0.25
TGFBI,0.25
MPHOSPH8,0.25
SCAF4,0.25
PNPLA6,0.25
THOC2,0.25
CTSL,0.25
NR3C1,0.25
KLHL13,0.25
SOX17,0.25
APOBEC3D,0.25
C3,0.25
TRPS1,0.25
CEP85L,0.25
BEND3,0.25
FANCM,0.25
KIDINS220,0.25
RB1CC1,0.25
MTOR,0.25
ZNF84,0.25
PDGFRA,0.25
FCGBP,0.25
KIT,0.25
RBM27,0.25
RPS6KC1,0.25
PRKDC,0.25
AGTR2,0.25
GRM1,0.25
CD40LG,0.25
AHCTF1,0.25
ROBO1,0.25
CCDC149,0.25
RFX7,0.25
UBA6,0.25
ATP1A3,0.25
ZNF845,0.25
GBE1,0.25
PCDH9,0.25
HTATSF1,0.25
SIGLEC9,0.25
ZNF572,0.25
ADRA1A,0.25
ATP13A3,0.25
ATP8A2,0.25
CLSPN,0.25
AGO4,0.25
CR2,0.25
CIC,0.25
BNIP3L,0.25
ANKRD44,0.25
PGAP1,0.25
RAD50,0.25
ZNF385D,0.25
ZNF236,0.25
AOX1,0.25
CENPC,0.25
KIAA0232,0.25
ITPR2,0.25
PRPF39,0.25
RYR3,0.25
EP400,0.25
SOCS4,0.25
MTM1,0.25
SH3TC2,0.25
ALS2,0.25
ULK1,0.25
TBC1D5,0.25
CCDC180,0.25
DDX47,0.25
MAGI1,0.25
DIAPH3,0.25
ADAMTS9,0.25
CASP10,0.25
FAM179B,0.25
SEPSECS,0.25
SH3TC1,0.25
CTR9,0.25
EIF4G2,0.25
HHLA2,0.25
MYH15,0.25
KIF13B,0.25
PHACTR3,0.25
MAP2,0.25
KIF27,0.25
ZNF300,0.25
ZNF440,0.25
GRIK2,0.25
NLRP14,0.25
CTNNA1,0.25
EPB41L2,0.25
ZNF442,0.25
PARP4,0.25
ZNF275,0.25
ZNF878,0.25
ZNF433,0.25
ZNF28,0.25
ZNF439,0.25
KDM3B,0.25
MMP16,0.25
DNAH14,0.25
TP53BP1,0.25
ST8SIA4,0.25
FZD6,0.25
XRN2,0.25
EIF4G3,0.25
PCDHB6,0.25
CCDC108,0.25
CASP8AP2,0.25
CEP44,0.25
MDN1,0.25
ASCC3,0.25
RNF38,0.25
PCDHB9,0.25
PSMC6,0.25
ECHDC1,0.25
SLC19A3,0.25
SPHKAP,0.25
ARID4A,0.25
DNER,0.25
MON2,0.25
VWA8,0.25
WDR44,0.25
NOP14,0.25
CDC42BPA,0.25
GBA2,0.25
N4BP2,0.25
NBN,0.25
ACSL3,0.25
GANC,0.25
LIN9,0.25
RYR1,0.25
WDR36,0.25
SP100,0.25
EXD1,0.25
NCOA7,0.25
ZNF106,0.25
GPR63,0.25
EPB41L4A,0.25
ZBTB10,0.25
DCDC1,0.25
UBQLN1,0.25
CCDC73,0.25
GALNT7,0.25
C1S,0.25
ABRA,0.25
MAP3K5,0.25
ZNF721,0.25
SRRM1,0.25
TEC,0.25
PCDHGA11,0.25
NAV2,0.25
PCSK5,0.25
ZFP30,0.25
FN1,0.25
MYO9B,0.25
SLC12A1,0.25
ATG5,0.25
ZNF718,0.25
EIF3E,0.25
NGEF,0.25
SPATA31D1,0.25
ARAP3,0.25
BEST3,0.25
SECISBP2L,0.25
AIM1,0.25
PKHD1L1,0.25
MCMDC2,0.25
PCDHGA6,0.25
EP300,0.25
XPO4,0.25
GABRA2,0.25
HTR2A,0.25
PCDHB11,0.25
ZNF836,0.25
FOXP1,0.25
EPHB2,0.25
TRIM58,0.25
CBWD5,0.25
CDH4,0.25
PCDHB15,0.25
ABI3BP,0.25
RIMS2,0.25
ATP2B2,0.25
EYA4,0.25
EYA1,0.25
USP37,0.25
DENND5A,0.25
PXDN,0.25
EIF2AK4,0.25
HBS1L,0.25
TMEM2,0.25
CORIN,0.25
MYB,0.25
NFXL1,0.25
NUP98,0.25
EDC4,0.25
HDAC4,0.25
RFX3,0.25
LAMA3,0.25
PAK7,0.25
RANBP6,0.25
OSBPL9,0.25
RXFP2,0.25
GLCE,0.25
PTPRN2,0.25
EIF5,0.25
CDC42BPB,0.25
PLCG2,0.25
PIK3C2A,0.25
GUCY2F,0.25
JAG1,0.25
BOD1L1,0.25
B3GNT5,0.25
ZCCHC11,0.25
MCF2L2,0.25
ADAMTS20,0.25
ANKRD30B,0.25
SCN1A,0.25
KMT2C,0.25
RNMT,0.25
FBXL2,0.25
TECPR2,0.25
COL19A1,0.25
RXFP1,0.25
WDR60,0.25
AFP,0.25
KDM4C,0.25
RAPGEF4,0.25
CEP126,0.25
OGT,0.25
DPY19L3,0.25
ZNF654,0.25
ABCC4,0.25
SLIT3,0.25
FLT3,0.25
PLCB1,0.25
DZIP1,0.25
DSG3,0.25
FLNA,0.25
ENG,0.25
PDE3A,0.25
CLIP1,0.25
THBS2,0.25
UBR3,0.25
ITGA11,0.25
CENPO,0.25
REPS2,0.25
CCDC173,0.25
STXBP1,0.25
ZNF521,0.25
NHS,0.25
CLASP2,0.25
ZNF839,0.25
TSHZ3,0.25
ATP11B,0.25
DLEC1,0.25
CC2D2A,0.25
ZNF623,0.25
JMY,0.25
ZNF252P,0.25
NALCN,0.25
MTUS2,0.25
KIAA1586,0.25
RIF1,0.25
WDR78,0.25
LRRN1,0.25
PKDREJ,0.25
ARHGEF12,0.25
USP14,0.25
BMP5,0.25
COPB1,0.25
SLC6A3,0.25
CUZD1,0.25
ACVR2A,0.25
TBCD,0.25
CACNA1S,0.25
CELSR1,0.25
MROH1,0.25
ZRANB2,0.25
MYH8,0.25
CPEB2,0.25
ALG6,0.25
PKD1L2,0.25
LY75,0.25
COL4A6,0.25
ARPP21,0.25
CHL1,0.25
SPICE1,0.25
PIEZO2,0.25
FAP,0.25
DPP4,0.25
MYO9A,0.25
SMARCA2,0.25
G3BP2,0.25
SUN1,0.25
PTPRM,0.25
PPEF2,0.25
LMNB1,0.25
7-Mar,0.25
PPAP2B,0.25
ARHGAP28,0.25
GOLGA4,0.25
PHKA2,0.25
PRRC2B,0.25
EPB41L3,0.25
MAP3K15,0.25
ZNF862,0.25
MFN1,0.25
WBP11P1,0.25
KIF5A,0.25
MPDZ,0.25
ZXDB,0.25
FSIP2,0.25
PHIP,0.25
TLN2,0.25
ALPK2,0.25
ASAP1,0.25
NCKAP1,0.25
DMXL1,0.25
FNDC1,0.25
FNIP1,0.25
TPH1,0.25
FBXL3,0.25
PSD3,0.25
SLC4A7,0.25
MYCBP2,0.25
VCAN,0.25
PHLDB2,0.25
DCC,0.25
NOL4,0.25
CCDC141,0.25
SYNJ1,0.25
PAXBP1,0.25
MICU3,0.25
MECP2,0.25
MBD1,0.25
RLF,0.25
LARP1,0.25
TMEM260,0.25
ZNF594,0.25
ADAMDEC1,0.25
ARID4B,0.25
ADAM28,0.25
TMEM132D,0.25
ADAMTS18,0.25
CACNA1C,0.25
PTPRO,0.25
NKAP,0.25
ABCA1,0.25
ZNF462,0.25
ZNF626,0.25
PTPRR,0.25
SRGAP2,0.25
TGM6,0.25
G3BP1,0.25
LRRK2,0.25
KLF12,0.25
CTAGE11P,0.25
RAD51AP2,0.25
COL5A2,0.25
PTPN3,0.25
SMC6,0.25
ZMYM3,0.25
HTR2C,0.25
LRRC6,0.25
HERC1,0.25
EPG5,0.25
MTMR9,0.25
ARHGAP32,0.25
DCAF12L1,0.25
PLG,0.25
ALKBH3,0.25
ALG13,0.25
GPCPD1,0.25
CDK5RAP2,0.25
ZNF492,0.25
DCX,0.25
ADGRL2,0.25
ATP10B,0.25
MUC2,0.25
PRR16,0.25
C5,0.25
RP1L1,0.25
CD109,0.25
SLITRK1,0.25
GPR155,0.25
PASK,0.25
KTN1,0.25
EHHADH,0.25
MAT2B,0.25
NRIP1,0.25
HDLBP,0.25
PDZRN4,0.25
GAS2,0.25
SLC22A3,0.25
FILIP1,0.25
WDR62,0.25
ZNF100,0.25
DYM,0.25
KIAA1456,0.25
CYFIP2,0.25
TIE1,0.25
FMR1,0.25
ZNF98,0.25
AHNAK2,0.25
ATP10A,0.25
TMEM5,0.2
NLRP3,0.2
TARS,0.2
TCP11,0.2
NELL1,0.2
SRPK1,0.2
SOX6,0.2
SLC45A2,0.2
FIG4,0.2
USH1C,0.2
ZNF83,0.2
RTN4,0.2
LENG8,0.2
WDR59,0.2
ANO5,0.2
TXNRD2,0.2
SAAL1,0.2
MYRF,0.2
PMFBP1,0.2
ATP7A,0.2
ABCC8,0.2
UPRT,0.2
GDPD2,0.2
EFEMP1,0.2
VRK2,0.2
POFUT2,0.2
SMEK2,0.2
MAP7D3,0.2
HACE1,0.2
SDCCAG8,0.2
SLC3A2,0.2
TANGO2,0.2
ADAMTS12,0.2
AP5M1,0.2
TUT1,0.2
SIM1,0.2
CCDC176,0.2
CNTNAP4,0.2
KIF4A,0.2
ELMSAN1,0.2
ROBO2,0.2
PLEKHH2,0.2
LILRB5,0.2
ADCY2,0.2
MYO6,0.2
CDC5L,0.2
MATN3,0.2
SENP6,0.2
ABCC11,0.2
OR5AS1,0.2
SPAST,0.2
ZNF423,0.2
KCTD19,0.2
MPP5,0.2
CACNA2D3,0.2
OR4C16,0.2
MUT,0.2
OR4A15,0.2
SLC26A10,0.2
JADE3,0.2
PLEKHG4,0.2
OR8K5,0.2
ERBB3,0.2
OR8U1,0.2
LRRC4C,0.2
XPO5,0.2
RMDN2,0.2
MMP19,0.2
BCKDHB,0.2
ZNF525,0.2
LPIN1,0.2
TRIB2,0.2
RANBP10,0.2
NLGN3,0.2
TTK,0.2
XIST,0.2
TSIX,0.2
HNRNPKP3,0.2
ITFG1,0.2
CRIM1,0.2
SNX20,0.2
CADPS,0.2
SLC12A4,0.2
CNGB1,0.2
SMARCC2,0.2
SLC6A2,0.2
PDHB,0.2
ERCC6L,0.2
FNBP4,0.2
TIMELESS,0.2
MTHFD1,0.2
ZNF451,0.2
R3HDM2,0.2
FLNB,0.2
LRRC1,0.2
COL21A1,0.2
MLIP,0.2
NLRC5,0.2
NUP93,0.2
NACA,0.2
RGAG4,0.2
ASXL2,0.2
ATAD2B,0.2
BRE,0.2
CHST1,0.2
CDH16,0.2
CYLD,0.2
PPP1CB,0.2
PTPRG,0.2
NHSL2,0.2
NCOA1,0.2
TFAP2B,0.2
VPRBP,0.2
HZGJ,0.2
RBL2,0.2
RPGRIP1L,0.2
CDH11,0.2
KCNH5,0.2
MMP2,0.2
PHF3,0.2
ATXN7,0.2
DOPEY1,0.2
OR2M4,0.2
TREM2,0.2
SLC16A7,0.2
LRIG3,0.2
DAAM2,0.2
RTN1,0.2
WDR82,0.2
TPO,0.2
SRSF12,0.2
OSBP,0.2
KCNA4,0.2
LMOD3,0.2
ADAM20,0.2
PRDM9,0.2
CNR1,0.2
PCNXL4,0.2
ITGAL,0.2
UBA3,0.2
NCKAP1L,0.2
MAP3K7,0.2
OR5AN1,0.2
DACT1,0.2
POU3F2,0.2
PHLPP2,0.2
OR2T3,0.2
TAT,0.2
DROSHA,0.2
DPF3,0.2
CHST4,0.2
MS4A12,0.2
HEATR9,0.2
UFL1,0.2
RGS6,0.2
HYDIN,0.2
MS4A14,0.2
FUT9,0.2
SORBS2,0.2
CYP4V2,0.2
ZNF665,0.2
SOX11,0.2
PRICKLE2,0.2
SLC1A2,0.2
RAD51B,0.2
ITGAM,0.2
LRIG1,0.2
MED12,0.2
ITGAD,0.2
MAP4K3,0.2
XKR3,0.2
SOS1,0.2
